franchise_id,season_year,home_games,home_wins,home_attendance_total,avg_home_attendance,away_games,away_wins,away_attendance_total,avg_away_attendance,total_games,total_wins,Pct,total_attendance,attendance_avg,Team_Revenue,Ticket_Price,Operating_Income,LAFR,LAFA
9,2019,41,26,675963,16486.90243902439,41,15,730583,17819.09756097561,82,41.0,0.5,1406546,17153.0,255.0,35.8,52.0,0.029112912432926134,0.029882589476950907
9,2020,33,11,509469,15438.454545454546,33,9,582158,17641.151515151516,66,20.0,0.30303030303030304,1091627,16539.803030303032,227.0,28.0,45.0,0.02867609903991915,0.028649228431301098
9,2021,36,13,14250,750.0,36,7,44198,3157.0,72,20.0,0.2777777777777778,58448,811.7777777777778,192.0,0.29,43.0,0.029971901342491416,0.009508944747359015
10,2011,41,26,766398,18692.634146341465,41,10,699038,17049.70731707317,82,36.0,0.43902439024390244,1465436,17871.170731707316,139.0,26.1,22.0,0.0351010101010101,0.0349788752418382
10,2012,33,12,622311,18857.909090909092,33,11,540044,16364.969696969696,66,23.0,0.3484848484848485,1162355,17611.439393939392,127.0,21.2,29.0,0.034586056644880174,0.03535924454033766
10,2013,41,28,794320,19373.658536585364,41,19,705369,17204.121951219513,82,47.0,0.573170731707317,1499689,18288.89024390244,160.0,28.6,43.0,0.03511852502194908,0.03629429873097436
10,2014,41,27,803436,19596.0,41,24,718576,17526.243902439026,82,51.0,0.6219512195121951,1522012,18561.121951219513,168.0,35.4,45.0,0.03508771929824561,0.03638183346352894
10,2015,41,39,803436,19596.0,41,28,750793,18312.024390243903,82,67.0,0.8170731707317073,1554229,18954.01219512195,201.0,41.8,58.0,0.0388030888030888,0.03553406289742664
10,2016,41,39,803436,19596.0,41,34,784499,19134.121951219513,82,73.0,0.8902439024390244,1587935,19365.060975609755,305.0,64.3,74.0,0.0519945448346403,0.03545507332128368
10,2017,41,36,803436,19596.0,41,31,779621,19015.146341463416,82,67.0,0.8170731707317073,1583057,19305.573170731706,359.0,77.9,120.0,0.048724212812160696,0.035487535771392416
