county_fips,state_po,x,n,y,population_group
39057,OH,2011,121263,-388,large
39059,OH,2011,30713,-58,small
39061,OH,2011,629846,-1499,very large
39063,OH,2011,60419,22,medium
39065,OH,2011,22735,-46,small
39067,OH,2011,11402,-14,small
39069,OH,2011,24203,-79,small
39071,OH,2011,31748,-4,small
39073,OH,2011,21437,60,small
39075,OH,2011,33476,-57,small
39077,OH,2011,49433,-154,small
39079,OH,2011,24404,-57,small
39081,OH,2011,51307,51,medium
39083,OH,2011,46322,-64,small
39085,OH,2011,194058,275,large
39087,OH,2011,45914,-44,small
39089,OH,2011,133743,499,large
39091,OH,2011,36944,9,small
39093,OH,2011,241842,511,large
39095,OH,2011,327227,-1196,large
39097,OH,2011,31265,-28,small
39099,OH,2011,181333,-296,large
39101,OH,2011,47672,-116,small
39103,OH,2011,150187,640,large
39105,OH,2011,16682,-19,small
39107,OH,2011,36242,-45,small
39109,OH,2011,84655,245,medium
39111,OH,2011,11193,-61,small
39113,OH,2011,410418,-1012,large
39115,OH,2011,10299,7,small
39117,OH,2011,26762,71,small
39119,OH,2011,66755,-55,medium
39121,OH,2011,9500,-37,tiny
39123,OH,2011,34332,42,small
39125,OH,2011,15909,-78,small
39127,OH,2011,26801,21,small
39129,OH,2011,41303,74,small
39131,OH,2011,20208,20,small
39133,OH,2011,118551,-317,large
39135,OH,2011,33524,21,small
39137,OH,2011,30709,-52,small
39139,OH,2011,95021,19,medium
39141,OH,2011,55177,7,medium
39143,OH,2011,49954,-4,small
39145,OH,2011,53678,-234,medium
39147,OH,2011,44517,-144,small
